repo	sha	label	fp_class	klass	added_loc	base_loc	note
Alteriom/painlessMesh	ceb4a0893454b81efbbc557d4556b407733d7c81	TP		within-file-chunk	examples/bridge/mesh_event_publisher.hpp:42-204		6 near-identical publish* methods (publishNodeJoin/NodeLeave/ConnectionLost/ConnectionRestored/NetworkSplit/NetworkMerged): same DynamicJsonDocument envelope build, differ only in event_type string and one detail key — classic partial-edited block copy
Alteriom/painlessMesh	ceb4a0893454b81efbbc557d4556b407733d7c81	TP		cross-file-chunk	examples/bridge/mesh_topology_reporter.hpp:278-301 vs examples/bridge/mesh_event_publisher.hpp:230-251		generateDeviceId() and getISO8601Timestamp() helpers byte-identical across both new files added in the same commit (snprintf ALT-%012X + millis-based fake ISO8601); should have been a shared header
AmoghS1234/CipherMesh	top	FP	idiom		src/desktop/mainwindow.cpp, src/p2p_webrtc/webrtcservice.cpp (within-file)		Qt + WebRTC app: repeated signal/slot wiring and ICE/peer setup blocks. UI + WebRTC callback boilerplate.
AztecProtocol/aztec-packages	8f347013715f	FP	idiom		barretenberg/cpp/src/barretenberg/chonk/chonk.cpp:607-721		Два РАЗНЫХ метода (Chonk::prove vs accumulate-step) помечены near within-file w=1.00 из-за плотной отладочной идиомы info("...") + общего zk-proof словаря (transcript/verifier/accumulator/goblin). Кода не копировали — совпадает каркас логирования и доменная лексика.
BALL-Project/ball	0b3934b6273cee3663ef03f60b4aaa02bd25c393	FP	idiom		source/VIEW/KERNEL/controllers/cameraController.C toQ_/fromQ_ + snapshot helpers vs sibling controllers		The anon-namespace adapters (QVector3D toQ_(const Vector3&) / Vector3 fromQ_(const QVector3D&)) and the 'snapshotXState_' payload helper recur across sibling controllers and look like clones, but they are tiny canonical Qt<->BALL conversion idioms / required ApplyPayload boilerplate, not transplanted business logic.
BALL-Project/ball	fc74222cf53c06dd03beeca32434e155116d4a0b	FP	idiom		source/VIEW/KERNEL/controllers/clippingController.C reset() vs stereoController.C reset()		Token/line detector can flag the 7 controllers' reset() bodies as near-clones, but the resemblance is driven by (a) an identical templated doc-comment block ('999.64 — SINGLE-call reset ... NOT the legacy two-step revert(); apply() ...') pasted above every reset(), and (b) a uniform 3-line scaffold tail (emit change signals; single apply()). The actual load-bearing lines — the default field assignments — differ per domain (enabled_/offset_/capped_ vs enabled_/eye_distance_/focal_distance_). It is a deliberate framework contract, not duplicated logic.
BALL-Project/ball	81118c56e38f8b350b2d3e7beff0e12b9d14ffde	TP		cross-file-chunk	source/VIEW/WIDGETS/inspector/sections/clippingSection.C:26-140		ClippingSection cloned from materialSection.C — commit msg literally says 'mirroring MaterialSection'; makePercentSlider_ anon-ns helper, ctor scaffold, debounce timer wiring, onController*Changed_ slot block and onDebounceFire_ copied verbatim with fields renamed (ambient/diffuse/specular -> enabled/offset/capped). ~98 common lines.
BALL-Project/ball	3d2102a5b2e77da155e75f074ffe00c872764a6b	TP		cross-file-chunk	source/VIEW/WIDGETS/inspector/sections/labelSection.C:35-148		LabelSection cloned from materialSection.C ('mirroring MaterialSection'); shares ~98 lines — same debounce/reset/revert wiring, connect() block, onDebounceFire_ tail, only the widget set and slot names differ.
BALL-Project/ball	0b3934b6273cee3663ef03f60b4aaa02bd25c393	TP		cross-file-chunk	source/VIEW/WIDGETS/inspector/sections/stereoSection.C:1-141		Single commit lands 4 sections (camera/lights/stereo/background) + 3 controllers all built by cloning the existing MaterialSection/StageController skeleton; camera<->stereo controllers share the apply()-via-ApplyGuard + snapshot helper + revert() scaffold, sections share the ctor/debounce/onController*Changed_ template. Mass copy-paste-with-rename within one commit.
Ball-Lang/ball	7ca74d037c01	FP	idiom		cpp/compiler/src/compiler.cpp:475-493	:217-235 (near, w=1.00 line=0.89)	Two emit_* helpers in the codegen visitor share the same boilerplate skeleton (emit_indent / out_ << ... / read_meta(func) / sanitize_name(func.name()) / map_return_type prologue) that recurs across nearly every emit_function* method in this compiler. The detector keys on the shared prologue idiom of a code-emitter class, not on a copied algorithm.
Ball-Lang/ball	7ca74d037c01	FP	generated		tests/snapshots/cpp/*.snapshot.cpp (19_nested_calls 4033-4037	134-138, 06_function, 30_deep_recursion, 15_closure, 20_bitwise, etc. — 10 hits)	These .snapshot.cpp files are emitted by the ball C++ compiler itself; every snapshot embeds the same fixed runtime preamble (includes block + BallDyn helpers + inline ball_map_copy/entries/keys/values). The within-file 'duplicate' the detector found is that repeated emitted preamble appearing once near the top and again where a second program/module is concatenated. line scores were low (0.05-0.43) which already signals weak text overlap on a boilerplate runtime header.
Ball-Lang/ball	b7ec388c00945ac3537116d6a4fb5a9c5ab44aab	TP		within-file-chunk	cpp/compiler/src/compiler.cpp:4370-4555 (compile_split) vs :4244-4365 (compile)		compile_split() is a copy of compile(): identical entry-module/entry-func lookup loop, verbatim 5-line std_memory linear-memory preamble block, same namespace-open/forward-decls/function-partition scaffolding — split flag bolted on. Same commit also duplicates the emit_struct method-emission body into split vs non-split branches.
Ball-Lang/ball	257ac6170796e8cfa990251368e6a058bd741288	TP		within-file-chunk	cpp/engine/src/engine.cpp:946-967 (setup_method_ref_info lambda body) vs :1583-1601 (inline pending_ref_info_ setup)		The PendingRefInfo population block (info.caller_scope=scope; loop over message_creation().fields(); Reference check; scope->has + is_list/is_map -> field_to_var; has_refs guard) exists verbatim twice — once factored into a lambda, once left inline. Author extracted the lambda but did not replace the original inline copy.
CTalkobt/M65Compiler	cd5ce3cbf88810b101ba5350a5945fca60e81cfc	FP	idiom		src/main/AssemblerSimulatedOps.cpp:32-130		Most dispatch_Xxx() wrappers are 2-3 line adapter thunks (forward the (parser,emitter,stmt) signature to an existing emitXxxCode with field unpacking). Detector groups dozens of them as a near-dup family, but they are intentional uniform-signature adapters introduced by a DEDUP refactor (this commit removed ~490 lines of if-else chains). Flagging the adapters as new copy-paste inverts the intent.
CTalkobt/M65Compiler	2fb1539550839f5efe35823ee49cb3123b627079	FP	idiom		src/test/test_validation_addressing.cpp:89-127		6 new validation test files each redefine the SAME static test-harness helpers (writeAssemblyFile/readFile/readBinaryFile/assembleCode/assemblySucceeded). The only per-file difference is the hardcoded temp filename string ('test_validation_addressing_temp' vs '..._directives_temp' ...). Token detector sees near-identical cross-file blocks and flags clone, but this is standard per-suite test scaffolding, not architectural drift.
CTalkobt/M65Compiler	994d276ba83845f459d9fc1bc942f16c052c4037	TP		within-file-chunk	src/main/AssemblerSimulatedOps.cpp:32-199		symbol->addr resolution block 'uint32_t addr=0; if(sym) addr=sym->value; else {try{addr=parseNumericLiteral(X);}catch(...){addr=0;}}' pasted 13x in this commit (37x total in file), only the parsed identifier (target/src/dest/op...) edited; should be one resolveAddr() helper
CTalkobt/M65Compiler	cd5ce3cbf88810b101ba5350a5945fca60e81cfc	TP		within-file-chunk	src/main/AssemblerSimulatedOps.cpp:47-142		dispatch_AddSub16/dispatch_AddSub32, dispatch_Bitwise16/32, dispatch_CMP16/32, dispatch_NegNot16/32 etc. are 16->32 copy-edited wrapper pairs (same body, swapped enum + emitXxx16->emitXxx32 callee)
CanerKaraca23/classic-axis	top	FP	whole-file		vendor/GInputAPI/GInputAPI.h vs source/shared/GInputAPI.h		GInputAPI is a vendored input library kept in vendor/ and also referenced under source/shared/. The single cross-file hit is two copies of the same vendored header (line=0.53, partial).
CrispStrobe/CrispASR	272f7ee0914c	FP	data-table		src/f5_tts.cpp (weight-loader block) vs src/moonshine_streaming.cpp / src/kyutai_stt.cpp loaders		ggml model files all populate a weights struct with long sequential runs of 'w.NAME = get("prefix.NAME.weight"); w.NAME_bias = get("prefix.NAME.bias");'. Lines differ only by the tensor-name string literal, so the token stream after identifier/string normalization collapses to a near-identical skeleton -> #056 token pass scores high cross-file similarity (f5_tts 30, moonshine 36, kyutai 9 such pairs). It is a name table, not transplanted logic.
CrispStrobe/CrispASR	f550f4ab3c49	FP	idiom		src/kyutai_stt.cpp:36-78 sample_token vs other model files		sample_token (argmax-or-softmax-temperature sampler) is a self-contained ~40-line idiom that recurs nearly verbatim in many of the autoregressive model files (every TTS/ASR decoder needs it). Token detector flags it cross-file, but it is a standard utility every backend independently needs, not architectural drift introduced by this commit.
CrispStrobe/CrispASR	f550f4ab3c49	TP		within-file-chunk	src/crispasr_c_api.cpp (5 crispasr_stream_* dispatch fns)		Per-backend dispatch block '#if __has_include("X.h")\n if(s->X_stream_state) return X_stream_OP(...)' duplicated for kyutai and moonshine across close/feed/get_text/flush/open. Parallel-branch within-file copy-paste of the routing boilerplate.
CrispStrobe/CrispASR	c9e0357b629c	TP		within-file-chunk	src/crispasr_c_api.cpp (funasr/paraformer/sensevoice init branches)		Three near-identical backend-init blocks: if(s->backend=="X"){ X_context_params p = X_default_params(); ...; s->X_ctx = X_init_from_file(model_path,p); if(!s->X_ctx){...} }. Copy-paste-with-rename across the 3 sibling backends in the same dispatch function.
CrispStrobe/CrispASR	f550f4ab3c49	TP		cross-file-chunk	src/moonshine_streaming.cpp:1092-1199	src/kyutai_stt.cpp:1396-1510	Entire chunked-batch streaming wrapper (struct *_stream + run_decode/open/feed/get_text/flush/close, 6 funcs) copied kyutai_stt -> moonshine_streaming with mechanical rename; only the inner *_transcribe call body diverges. Author even left comment 'Same shape as kyutai_stt_stream_*; see src/kyutai_stt.cpp'. partial-edited.
DarthPineapple/voxel-game	top	FP	idiom		src/graphics/vulkan/pipeline.cpp, overlay_pipeline.cpp		Vulkan pipeline-creation boilerplate (VkPipelineCreateInfo struct filling) repeats across pipeline variants (0.45). Graphics-API idiom, not copypaste.
DataDog/java-profiler	cf6b3418197511c3ccf5fc378d4667a407679875	FP	other		ddprof-lib/src/main/cpp/hotspot/hotspotSupport.cpp:82-1034 (paired with profiler.cpp / vmStructs_dd.*)		Refactor MOVE, not duplication. 'Refactor stackwalker (#451)' physically relocates ~987 lines (getJavaTraceAsync, isAddressInCode, WalkStack helpers) out of profiler.cpp/stackWalker.cpp into the new hotspot/hotspotSupport.cpp, renaming Profiler:: -> HotspotSupport:: and _libs->findLibraryByAddress -> profiler->findLibraryByAddress. The source ranges are DELETED in the same commit (profiler.cpp -401), so there is no surviving second copy. The cross-file detector matched the moved text against the pre-move blob and reported it as cross-file copy-paste. This is exactly the entry the checker hint (CORPUS_CHECK_DETAIL) attributed to dependabot SHA e39e3ad as 'hotspotSupport.cpp <- profiler.cpp'.
DataDog/java-profiler	b7cc386aebb82119aec5a32ff733132689787c14	FP	header-impl		ddprof-lib/src/main/cpp/os_macos.cpp:* (paired with os_linux.cpp)		Platform-split implementation, not copy-paste. The same OS:: function set (shouldProcessSignal, forwardForeignSignal, sendSignalWithCookie, primeSignalOriginCheck, signalOriginCheckEnabled) is defined in both os_linux.cpp (real logic) and os_macos.cpp (no-op stubs returning accept-all). Identical signatures + similar stub bodies look like a clone but are the mandatory cross-platform overload pair for one interface (os.h).
DataDog/java-profiler	d518067e9c484f5be532dbd6eed8144ab261d406	FP	generated		ddprof-lib/src/main/cpp/otel_process_ctx.cpp:1-800		Vendored library re-sync, not authored copy-paste. Commit message: 'Update the vendored version of the OTel process context support with the latest code from open-telemetry/sig-profiling#79'. The C-style API (otel_process_ctx_publish/encode_payload/validate_and_calculate_payload_size, write_msgpack_string, packed structs) is copied wholesale from an external reference repo; repeated msgpack encode/size blocks are upstream idioms, and the file is replaced wholesale on each sync, so internal near-duplicate blocks are upstream-authored, not local drift.
DataDog/java-profiler	b7cc386aebb82119aec5a32ff733132689787c14	FP	idiom		ddprof-lib/src/test/cpp/signalOrigin_ut.cpp:108-348 (16 TEST_F cases)		Unit-test boilerplate. 16 TEST_F(SignalOriginTest, ...) cases with near-identical 3-5 line bodies (arrange siginfo, call shouldProcessSignal, EXPECT_TRUE/FALSE). The fixture-setup + single-assert shape repeats by design (table of cases), not as drifted production logic.
DataDog/java-profiler	48476851eba946dc67f5cbd0fb508d343a086f6c	TP		within-file-chunk	ddprof-lib/src/main/cpp/refCountGuard.cpp:130-145	:104-127	operator=(RefCountGuard&&) duplicates the entire ~RefCountGuard() cleanup body (reentrant: restore active_ptr + clear outer_stack + fetch_sub count; else: fetch_sub + null active_ptr + clear slot_owner) verbatim; classic dtor/move-assign cleanup copy not factored into a private release() helper
DataDog/java-profiler	48476851eba946dc67f5cbd0fb508d343a086f6c	TP		partial-edited	ddprof-lib/src/main/cpp/refCountGuard.cpp:167-214	:216-244	waitForRefCountToClear and waitForAllRefCountsToClear share the same two-phase scaffolding (SPIN_ITERATIONS=100 spinPause loop, then MAX_WAIT_ITERATIONS=5000 nanosleep{0,100000} loop, same all_clear/any break structure); only the inner predicate (slotReferences(target) vs count>0) and the timeout log differ
ErenAri/Aegis-BPF	469ad9a7d8bf	FP	other		src/bpf_ops.cpp:105-113		ROUND2-NEW: хинт чекера bpf_ops.cpp:105-113 <- main.cpp:78-83 (w=0.68 line=0.40). На HEAD merge-коммита main.cpp выпотрошен (<78 строк): блок bump_memlock_rlimit был ПЕРЕНЕСЁН из старого main.cpp в bpf_ops.cpp при модуляризации (acf9a778), детектор сравнил перенос со старой ревизией main.cpp -> ложный cross-file. То же по 26f51b15 'modularize CLI': commands.cpp (-955) разбит на commands_*.cpp, все хендлеры и near-clone пары (deny_add_ip vs deny_add_cidr) уже жили в родительском commands.cpp — чистый refactor-split (move), новой копипасты не внесено.
ErenAri/Aegis-BPF	34a664b25d86b7dcbfed1718d708ca6360a59800	FP	idiom		src/cli_cgroup.cpp:57-89		dispatch_cgroup_command's hand-rolled argv loop `for(int i=4;i<argc;++i){ if(arg=="--cgroup"){...} else if(arg=="--ip"){...} else if(arg=="--port"){parse_port} else if(arg=="--protocol"){...} else if(arg=="--direction"){...} }` is structurally identical to the same loop in cli_network.cpp/cli_run.cpp/cli_policy.cpp (6 files share it). A cross-file token detector flags cli_cgroup.cpp <- cli_network.cpp, but this is the standard hand-rolled CLI flag-parse idiom (each branch bounds-checks i+1<argc then consumes argv[++i]); the --protocol/--direction/--port branches are necessarily textually identical across subcommands.
ErenAri/Aegis-BPF	34a664b25d86b7dcbfed1718d708ca6360a59800	TP		within-file-chunk	src/commands_cgroup.cpp:118-168		cmd_cgroup_deny_add_ip near-verbatim copy of cmd_cgroup_deny_add_inode (59-116): identical scaffold resolve_cgroup_identifier->bump_memlock_rlimit->load_bpf->map-null-check->add_*->refresh_policy_empty_hints->log; same 30-line block repeated again in add_port and in all three del_* fns (240-419). Commit message admits 'follows existing pattern'.
ErenAri/Aegis-BPF	34a664b25d86b7dcbfed1718d708ca6360a59800	TP		cross-file-chunk	src/commands_cgroup.cpp:29-53		ROUND2-NEW: parse_protocol(29-40)/parse_direction(43-53) скопированы байт-в-байт из commands_network.cpp:22-53 в новый файл вместо общего хелпера (diff пуст). Отдельная находка от within-file add_inode-клона ниже.
ErenAri/Aegis-BPF	252809d6769bd7b942dc4c59e22c534808d42e0e	TP		within-file-chunk	src/control.cpp:158-204		extract_json_uint64_simple (184-204) is a copy of extract_json_int64_simple (158-182): identical overflow-checked digit-accumulation while-loop, differs only in signedness handling and INT64_MAX vs UINT64_MAX. Sibling family extract_json_string/bool/int64_array + parse_u64_env/parse_u32_env (31-59) share the same find_json_value_pos + scan scaffold.
ErenAri/Aegis-BPF	3c2f61d2d5069eb58699c495c9e4c9c1220f26d1	TP		partial-edited	src/ocsf_formatter.cpp:159-183		format_net_block_event_ocsf reuses the JSON-envelope header of format_block_event_ocsf verbatim-structured (class_uid/category/activity/type_uid/action_id/action/disposition/status/severity/time/message then write_metadata_block+write_actor_block+write_device_block) at 265-296; only class/activity constants renamed. Genuine extractable boilerplate, not pure idiom.
ErenAri/Aegis-BPF	7de6392487e49a07b632dbc6926db26cd0f7c6a8	TP		within-file-chunk	src/policy_runtime.cpp:388-444		populate_shadow_cgroup block (388) duplicated as apply_cgroup_rules block (636): three near-identical per-rule-type loops (deny_inodes/deny_ips/deny_ports each: resolve_cgroup_identifier + add_cgroup_deny_*_to_fd + SLOG_WARN), and the whole block copied twice differing only shadows.deny_cgroup_*.fd() vs bpf_map__fd(state.deny_cgroup_*).
FiveTechSoft/HarbourBuilder	4c601754c1d5a005b826b8cbada8caf1f907cbbb	FP	data-table		cpp/src/hbbridge.cpp:828-1118 (HB_FUNC UI_GETALLEVENTS switch arms)		Один большой switch(controlType) где каждый case-arm состоит из повторяющихся строк ADD_E("OnClick",...,"Action"); ADD_E("OnEnter",...,"Focus"); и т.д. Это не копипаст логики, а декларативная таблица регистрации событий, записанная кодом — общий словарь идентичных макровызовов (ADD_E + одинаковые имена событий OnClick/OnEnter/OnExit/OnKeyDown) даёт высокую line-similarity между арками switch.
FiveTechSoft/HarbourBuilder	800df7787d75e005c384fe5b785d9e418faadb5f	FP	other		source/cpp/hbbridge.cpp:added vs source/cpp/stubs_win.cpp:deleted		Рефактор-move: stubs_win.cpp удалён целиком, те же HB_FUNC (UI_GETPRINTERS, HIX_SETROOT, RPT_PDFOPEN, ...) перенесены в hbbridge.cpp и заменены реальными реализациями. Commit-diff детектор (#056 --diff), сравнивая ADDED-блоки коммита с BASE, видит совпадающие сигнатуры/тела перенесённых функций и помечает как копипаст, хотя источник в этом же коммите удалён.
FiveTechSoft/HarbourBuilder	28534ff41425e57d3359bad8ad1d3f06b5ba31cf	TP		partial-edited	cpp/src/hbbridge.cpp:4106-4225		GIT_BRANCHLIST and GIT_REMOTELIST share copy-pasted line-iteration scaffold: GitExec(...) + hb_itemArrayNew(0) + while(*p){eol=strchr(p,'\n'); if(!eol)eol=p+strlen(p); ...; p=(*eol)?eol+1:eol;} + hb_itemReturnRelease(pArray); only per-command parsing body edited (same pattern across GIT_STATUS/LOG too)
FiveTechSoft/HarbourBuilder	1c577951aa3bc0589eb4370e51b72d2633f70add	TP		within-file-chunk	source/cpp/hb_db_real.cpp:172-462		MySQL wrapper family HBMYSQL_QUERY/FIELDS/ERROR/LASTID/TABLES + my_rows_to_array copy-pasted into PostgreSQL family HBPGSQL_* + pg_rows_to_array; identical skeleton (PHB_ITEM aRet=hb_itemArrayNew(0); if(g_xx.h){...} hb_itemReturnRelease(aRet)) with only DB-specific calls swapped
FiveTechSoft/OpenADS	30233c0381b9fbdf2d803fea0eec0f33ddb53776	FP	data-table		bindings/php_ext/src/ads_arginfo.h:46-301		Each PHP arg spec is a ZEND_BEGIN_ARG_WITH_RETURN_TYPE_INFO_EX(...) / ZEND_ARG_TYPE_INFO(...) / ZEND_END_ARG_INFO() block. Dozens of these differ only in the arginfo name and IS_STRING/IS_LONG type tokens, so the token pass sees many near-verbatim 3-6 line windows. This is generated-style declaration boilerplate (a macro-driven ABI signature table), not logic copypaste.
FiveTechSoft/OpenADS	692567201805cba309e329105eacd5b68c67bb20	FP	data-table		src/abi/ace_exports.cpp:35-72		System-table definitions are built from inline std::vector<Col> initializer lists ({"COL_NAME",'C',200,0}, ...). Multiple such Col-table literals across the file share the {name,type,len,dec} shape and the surrounding build(cols, rows) idiom, so the detector matches the brace-init rows as duplicated chunks even though they encode distinct schemas.
FiveTechSoft/OpenADS	6d95220007bbd5a46df2f06bd33a9e1742539e6b	TP		within-file-chunk	src/drivers/cdx/cdx_index.cpp:401-453		CdxIndex::next() and prev() are mirror copies: +1/-1 step, read_u32_le offset 8 (right) vs 4 (left), AfterEnd vs BeforeBegin, first vs last decoded entry. Same 25-line skeleton copied and edited.
FiveTechSoft/OpenADS	6e166e9ab4e8b7a96040005ec1ee0bd6cccb36c6	TP		partial-edited	src/drivers/ntx/ntx_index.cpp:158-210		NtxIndex::descend_leftmost_ and descend_rightmost_ are near-identical B-tree walks; only slot 0 vs kc and key_index 0 vs kc-1 differ. Classic mirror copypaste in a freshly added file.
GregorGullwi/FlashCpp	2ee810b24ec9	FP	whole-file		src/IRConverter_ConvertMain.cpp +10502/-10495 and every tracked src file		Commit #1029 'Apply clang-format across tracked sources' rewrites nearly every line (whitespace/brace reflow). Diff is ~100% churn but semantically a no-op; any block-diff vs base looks like massive edited-copy.
GregorGullwi/FlashCpp	45e11c23bed1	FP	data-table		src/NameMangling.h:302-318 ~ 610-626		Two Itanium C++ ABI type-code switch ladders (case TypeCategory::Int: output += 'i'; etc.). The mapping TypeCategory->mangling-char is fixed by the Itanium ABI spec, so the same switch legitimately recurs in different mangling functions. Token/line detector sees a long verbatim run of high-entropy lines and flags it.
GregorGullwi/FlashCpp	9b675b214c1a	FP	whole-file		src/Parser_Templates_Inst_ClassTemplate.cpp (entire file, +5875/-0) and ~30 other new src files		Commit #800 'Split files as per recommendations' carves a monolith (Parser.cpp / AstNodeTypes.h) into many new files. Bodies move verbatim, so cross-file detector reports the new files as near-duplicates of the (deleted) originals. Pure relocation, not authored duplication.
GregorGullwi/FlashCpp	6b4b626aacec	TP		within-file-chunk	src/IrGenerator_Call_Indirect.cpp:88-108 ~ 1164-1184		generic-lambda arg-type collection loop (visit args -> lookup symbol -> deduceLambdaClosureType) duplicated; second copy extended with recursive-lambda auto&& branch
GregorGullwi/FlashCpp	428fbd859ffe	TP		within-file-chunk	src/Parser_Declarations.cpp:4886-4990 ~ 8071-8180		anonymous union/struct member parse+flatten loop copied as 'original code path' alongside new token-API path; ~100 lines verbatim incl nested-union recursion
GregorGullwi/FlashCpp	54b9eee054fd	TP		partial-edited	src/Parser_Templates_Substitution.cpp:560-640 ~ 651-731		NonTypeValueIdentity::MemberPointer substitution branch duplicated; only diff is flag set (substituted_template_param_ref vs substituted_identifier)
GregorGullwi/FlashCpp	0a3c117d6cda	TP		partial-edited	src/SemanticAnalysis.cpp:3200-3290 (tryAnnotateBinaryOperandConversions) ~ 3283-3370 (tryAnnotateCompoundAssignBackConversion)		second fn is copy of first: identical operand-inference prologue + identical guard block; comment literally says 'Same guards as tryAnnotateBinaryOperandConversions'
